Dataset Name,xsec (pb)
TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8,101.802
TTto4Q_TuneCP5_13p6TeV_powheg-pythia8,408.439
TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8,407.824
DYto2L-2Jets_MLL-50_PTLL-40to100_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,475.3
DYto2L-2Jets_MLL-50_PTLL-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,45.42
DYto2L-2Jets_MLL-50_PTLL-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,3.382
DYto2L-2Jets_MLL-50_PTLL-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.1162
DYto2L-2Jets_MLL-50_PTLL-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.01392
DYto2L-2Jets_MLL-50_PTLL-40to100_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,179.3
DYto2L-2Jets_MLL-50_PTLL-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,51.68
DYto2L-2Jets_MLL-50_PTLL-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,7.159
DYto2L-2Jets_MLL-50_PTLL-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.4157
DYto2L-2Jets_MLL-50_PTLL-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.07019
DYto2L-4Jets_MLL-50_PTLL-40to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,403.7
DYto2L-4Jets_MLL-50_PTLL-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8,58.46
DYto2L-4Jets_MLL-50_PTLL-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,6.678
DYto2L-4Jets_MLL-50_PTLL-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8,0.3833
DYto2L-4Jets_MLL-50_PTLL-600_TuneCP5_13p6TeV_madgraphMLM-pythia8,0.06843
WtoLNu-2Jets_0J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,55760
WtoLNu-2Jets_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,9529
WtoLNu-2Jets_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,3532
WtoLNu-2Jets_PTLNu-40to100_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,4427
WtoLNu-2Jets_PTLNu-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,368.2
WtoLNu-2Jets_PTLNu-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,25.6
WtoLNu-2Jets_PTLNu-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.8785
WtoLNu-2Jets_PTLNu-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.1053
WtoLNu-2Jets_PTLNu-40to100_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,1598
WtoLNu-2Jets_PTLNu-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,421.9
WtoLNu-2Jets_PTLNu-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,54.77
WtoLNu-2Jets_PTLNu-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,3.119
WtoLNu-2Jets_PTLNu-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.5261
Zto2Nu-2Jets_PTNuNu-40to100_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,929.8
Zto2Nu-2Jets_PTNuNu-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,86.38
Zto2Nu-2Jets_PTNuNu-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,6.354
Zto2Nu-2Jets_PTNuNu-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.2188
Zto2Nu-2Jets_PTNuNu-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.02583
Zto2Nu-2Jets_PTNuNu-40to100_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,335.5
Zto2Nu-2Jets_PTNuNu-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,100.4
Zto2Nu-2Jets_PTNuNu-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,13.86
Zto2Nu-2Jets_PTNuNu-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.7816
Zto2Nu-2Jets_PTNuNu-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,0.1311
GJ_PTG-100to200_TuneCP5_13p6TeV_amcatnlo-pythia8,1396
GJ_PTG-200to400_TuneCP5_13p6TeV_amcatnlo-pythia8,88.52
GJ_PTG-400to600_TuneCP5_13p6TeV_amcatnlo-pythia8,3.783
GJ_PTG-600_TuneCP5_13p6TeV_amcatnlo-pythia8,0.5755
TBbartoLplusNuBbar-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8,2.278
TbarBtoLminusNuB-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8,1.43
TQbarto2Q-t-channel_TuneCP5_13p6TeV_powheg-pythia8,43.16
TQbartoLNu-t-channel_TuneCP5_13p6TeV_powheg-pythia8,86.45
TbarQto2Q-t-channel_TuneCP5_13p6TeV_powheg-pythia8,52.2424
TbarQtoLNu-t-channel_TuneCP5_13p6TeV_powheg-pythia8,26.081
TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8,3.966
TWminusto4Q_TuneCP5_13p6TeV_powheg-pythia8,15.915
TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8,15.891
TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8,3.9735
TbarWplusto4Q_TuneCP5_13p6TeV_powheg-pythia8,15.942
TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8,15.918
WW_TuneCP5_13p6TeV_pythia8,80.23
WZ_TuneCP5_13p6TeV_pythia8,29.1
ZZ_TuneCP5_13p6TeV_pythia8,12.75
QCD_PT-15to30_TuneCP5_13p6TeV_pythia8,1301000000
QCD_PT-30to50_TuneCP5_13p6TeV_pythia8,113300000
QCD_PT-50to80_TuneCP5_13p6TeV_pythia8,16760000
QCD_PT-80to120_TuneCP5_13p6TeV_pythia8,2534000
QCD_PT-120to170_TuneCP5_13p6TeV_pythia8,445800
QCD_PT-170to300_TuneCP5_13p6TeV_pythia8,113700
QCD_PT-300to470_TuneCP5_13p6TeV_pythia8,7559
QCD_PT-470to600_TuneCP5_13p6TeV_pythia8,626.4
QCD_PT-600to800_TuneCP5_13p6TeV_pythia8,178.6
