dataset,xs_pb,xs_unc_pb
sig_Mphi-1000_Mchi-10,0.4298,3.061e-05
sig_Mphi-1000_Mchi-1000,6.641e-05,4.651e-09
sig_Mphi-1000_Mchi-150,0.4231,3.649e-05
sig_Mphi-1000_Mchi-50,0.4283,3.02e-05
sig_Mphi-100_Mchi-150,0.1315,8.707e-06
sig_Mphi-1245_Mchi-625,0.03257,2.046e-06
sig_Mphi-1250_Mchi-150,0.1663,1.084e-05
sig_Mphi-1495_Mchi-750,0.01422,9.112e-07
sig_Mphi-1500_Mchi-150,0.07259,4.75e-06
sig_Mphi-1500_Mchi-500,0.06462,4.218e-06
sig_Mphi-1500_Mchi-700,0.04394,2.861e-06
sig_Mphi-150_Mchi-150,0.2064,1.337e-05
sig_Mphi-1700_Mchi-800,0.02241,1.455e-06
sig_Mphi-1750_Mchi-150,0.03415,2.367e-06
sig_Mphi-1750_Mchi-700,0.0269,1.771e-06
sig_Mphi-195_Mchi-100,5.346,0.0002986
sig_Mphi-1995_Mchi-1000,0.003229,2.468e-07
sig_Mphi-2000_Mchi-150,0.01696,1.219e-06
sig_Mphi-2000_Mchi-1500,5.795e-06,4.332e-10
sig_Mphi-2000_Mchi-500,0.01562,1.05e-06
sig_Mphi-200_Mchi-10,63.67,0.007966
sig_Mphi-200_Mchi-150,0.2782,1.825e-05
sig_Mphi-200_Mchi-20,64.21,0.01035
sig_Mphi-200_Mchi-30,63.39,0.008554
sig_Mphi-200_Mchi-40,63.79,0.01047
sig_Mphi-200_Mchi-50,63.16,0.01015
sig_Mphi-2245_Mchi-1125,0.001634,1.263e-07
sig_Mphi-2250_Mchi-150,0.008869,7.186e-07
sig_Mphi-2495_Mchi-1250,0.0008546,7.085e-08
sig_Mphi-2500_Mchi-150,0.004808,4.003e-07
sig_Mphi-2500_Mchi-2000,3.947e-07,3.309e-11
sig_Mphi-2500_Mchi-750,0.004033,2.807e-07
sig_Mphi-295_Mchi-150,2.595,0.0001637
sig_Mphi-2995_Mchi-1500,0.0002481,2.253e-08
sig_Mphi-3000_Mchi-1000,0.00115,8.402e-08
sig_Mphi-3000_Mchi-2000,6.318e-07,4.996e-11
sig_Mphi-300_Mchi-100,20.63,0.001277
sig_Mphi-300_Mchi-300,0.02127,1.628e-06
sig_Mphi-400_Mchi-150,8.83,0.0005547
sig_Mphi-495_Mchi-250,0.7786,5.267e-05
sig_Mphi-500_Mchi-150,4.759,0.000316
sig_Mphi-500_Mchi-500,0.002621,1.646e-07
sig_Mphi-625_Mchi-150,2.356,0.0001643
sig_Mphi-745_Mchi-325,1.009,7.418e-05
sig_Mphi-750_Mchi-150,1.26,9.6e-05
sig_Mphi-995_Mchi-500,0.08102,4.915e-06
